,EventTemplate
47,Warning: Unrecognized packageExtended attribute.
48,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
49,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
50,Warning: Unrecognized packageExtended attribute.
51,Warning: Unrecognized packageExtended attribute.
52,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
53,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
54,Warning: Unrecognized packageExtended attribute.
55,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
56,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
57,Warning: Unrecognized packageExtended attribute.
58,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
59,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
60,Warning: Unrecognized packageExtended attribute.
61,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
62,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
63,Warning: Unrecognized packageExtended attribute.
64,Warning: Unrecognized packageExtended attribute.
65,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
66,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
67,Warning: Unrecognized packageExtended attribute.
68,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
69,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
70,Warning: Unrecognized packageExtended attribute.
71,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
72,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
73,Warning: Unrecognized packageExtended attribute.
74,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
75,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
76,Warning: Unrecognized packageExtended attribute.
77,Warning: Unrecognized packageExtended attribute.
78,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
79,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
80,Warning: Unrecognized packageExtended attribute.
81,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
82,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
83,Warning: Unrecognized packageExtended attribute.
84,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
85,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
86,Warning: Unrecognized packageExtended attribute.
87,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
88,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
89,Warning: Unrecognized packageExtended attribute.
90,Warning: Unrecognized packageExtended attribute.
91,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
92,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
93,Warning: Unrecognized packageExtended attribute.
94,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
95,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
96,Warning: Unrecognized packageExtended attribute.
97,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
98,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
99,Warning: Unrecognized packageExtended attribute.
100,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
101,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
102,Warning: Unrecognized packageExtended attribute.
103,Warning: Unrecognized packageExtended attribute.
104,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
105,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
106,Warning: Unrecognized packageExtended attribute.
107,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
108,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
109,Warning: Unrecognized packageExtended attribute.
110,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
111,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
112,Warning: Unrecognized packageExtended attribute.
113,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
114,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
115,Warning: Unrecognized packageExtended attribute.
116,Warning: Unrecognized packageExtended attribute.
117,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
118,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
119,Warning: Unrecognized packageExtended attribute.
120,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
121,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
122,Warning: Unrecognized packageExtended attribute.
123,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
124,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
125,Warning: Unrecognized packageExtended attribute.
126,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
127,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
128,Warning: Unrecognized packageExtended attribute.
129,Session: <*> initialized by client WindowsUpdateAgent.
130,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE]
131,Session: <*> initialized by client WindowsUpdateAgent.
132,Session: <*> initialized by client WindowsUpdateAgent.
133,Warning: Unrecognized packageExtended attribute.
134,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
135,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
136,Warning: Unrecognized packageExtended attribute.
137,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
138,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
139,Warning: Unrecognized packageExtended attribute.
140,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
141,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
142,Warning: Unrecognized packageExtended attribute.
143,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
144,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
145,Warning: Unrecognized packageExtended attribute.
146,Warning: Unrecognized packageExtended attribute.
147,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
148,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
149,Warning: Unrecognized packageExtended attribute.
150,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
151,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
152,Warning: Unrecognized packageExtended attribute.
153,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
154,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
155,Warning: Unrecognized packageExtended attribute.
156,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
157,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
158,Warning: Unrecognized packageExtended attribute.
159,Warning: Unrecognized packageExtended attribute.
160,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
161,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
162,Warning: Unrecognized packageExtended attribute.
163,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
164,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
165,Warning: Unrecognized packageExtended attribute.
166,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
167,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
168,Warning: Unrecognized packageExtended attribute.
169,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
170,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
171,Warning: Unrecognized packageExtended attribute.
172,Warning: Unrecognized packageExtended attribute.
173,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
174,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
175,Warning: Unrecognized packageExtended attribute.
176,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
177,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
178,Warning: Unrecognized packageExtended attribute.
179,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
180,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
181,Warning: Unrecognized packageExtended attribute.
182,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
183,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
184,Warning: Unrecognized packageExtended attribute.
185,Warning: Unrecognized packageExtended attribute.
186,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
187,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
188,Warning: Unrecognized packageExtended attribute.
189,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
190,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
191,Warning: Unrecognized packageExtended attribute.
192,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
193,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
194,Warning: Unrecognized packageExtended attribute.
195,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
196,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
197,Warning: Unrecognized packageExtended attribute.
198,Warning: Unrecognized packageExtended attribute.
199,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
200,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
201,Warning: Unrecognized packageExtended attribute.
202,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
203,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
204,Warning: Unrecognized packageExtended attribute.
205,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
206,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
207,Warning: Unrecognized packageExtended attribute.
208,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
209,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
210,Warning: Unrecognized packageExtended attribute.
211,Warning: Unrecognized packageExtended attribute.
212,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
213,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
214,Warning: Unrecognized packageExtended attribute.
215,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
216,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
217,Warning: Unrecognized packageExtended attribute.
218,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
219,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
220,Warning: Unrecognized packageExtended attribute.
221,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
222,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
223,Warning: Unrecognized packageExtended attribute.
224,Warning: Unrecognized packageExtended attribute.
225,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
226,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
227,Warning: Unrecognized packageExtended attribute.
228,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
229,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
230,Warning: Unrecognized packageExtended attribute.
231,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
232,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
233,Warning: Unrecognized packageExtended attribute.
234,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
235,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
236,Warning: Unrecognized packageExtended attribute.
237,Session: <*> initialized by client WindowsUpdateAgent.
238,Warning: Unrecognized packageExtended attribute.
239,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
240,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
241,Warning: Unrecognized packageExtended attribute.
242,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
243,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
244,Warning: Unrecognized packageExtended attribute.
245,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
246,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
247,Warning: Unrecognized packageExtended attribute.
248,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
249,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
250,Warning: Unrecognized packageExtended attribute.
251,Warning: Unrecognized packageExtended attribute.
252,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
253,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
254,Warning: Unrecognized packageExtended attribute.
255,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
256,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
257,Warning: Unrecognized packageExtended attribute.
258,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
259,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
260,Warning: Unrecognized packageExtended attribute.
261,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
262,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
263,Warning: Unrecognized packageExtended attribute.
264,Warning: Unrecognized packageExtended attribute.
265,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
266,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
267,Warning: Unrecognized packageExtended attribute.
268,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
269,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
270,Warning: Unrecognized packageExtended attribute.
271,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
272,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
273,Warning: Unrecognized packageExtended attribute.
274,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
275,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
276,Warning: Unrecognized packageExtended attribute.
277,Warning: Unrecognized packageExtended attribute.
278,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
279,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
280,Warning: Unrecognized packageExtended attribute.
281,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
282,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
283,Warning: Unrecognized packageExtended attribute.
284,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
285,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
286,Warning: Unrecognized packageExtended attribute.
287,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
288,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
289,Warning: Unrecognized packageExtended attribute.
290,Warning: Unrecognized packageExtended attribute.
291,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
292,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
293,Warning: Unrecognized packageExtended attribute.
294,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
295,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
296,Warning: Unrecognized packageExtended attribute.
297,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
298,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
299,Warning: Unrecognized packageExtended attribute.
300,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
301,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
302,Warning: Unrecognized packageExtended attribute.
303,Warning: Unrecognized packageExtended attribute.
304,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
305,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
306,Warning: Unrecognized packageExtended attribute.
307,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
308,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
309,Warning: Unrecognized packageExtended attribute.
310,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
311,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
312,Warning: Unrecognized packageExtended attribute.
313,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
314,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
315,Warning: Unrecognized packageExtended attribute.
316,Warning: Unrecognized packageExtended attribute.
317,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
318,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
319,Warning: Unrecognized packageExtended attribute.
320,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
321,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
322,Warning: Unrecognized packageExtended attribute.
323,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
324,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
325,Warning: Unrecognized packageExtended attribute.
326,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
327,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
328,Warning: Unrecognized packageExtended attribute.
329,Warning: Unrecognized packageExtended attribute.
330,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
331,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
332,Warning: Unrecognized packageExtended attribute.
333,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
334,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
335,Warning: Unrecognized packageExtended attribute.
336,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
337,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
338,Warning: Unrecognized packageExtended attribute.
339,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
340,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM]
341,Warning: Unrecognized packageExtended attribute.
342,Session: <*> initialized by client WindowsUpdateAgent.
343,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE]
344,Session: <*> initialized by client WindowsUpdateAgent.
345,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE]
346,Session: <*> initialized by client WindowsUpdateAgent.
347,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE]
348,Session: <*> initialized by client WindowsUpdateAgent.
349,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE]
350,Session: <*> initialized by client WindowsUpdateAgent.
351,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE]
352,Session: <*> initialized by client WindowsUpdateAgent.
353,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE]
354,Session: <*> initialized by client WindowsUpdateAgent.
355,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE]
356,Session: <*> initialized by client WindowsUpdateAgent.
357,Session: <*> initialized by client WindowsUpdateAgent.
358,Read out cached package applicability for package: <*> ApplicableState: <*> <*>
359,Session: <*> initialized by client WindowsUpdateAgent.
360,Read out cached package applicability for package: <*> ApplicableState: <*> <*>
361,Session: <*> initialized by client WindowsUpdateAgent.
362,Read out cached package applicability for package: <*> ApplicableState: <*> <*>
363,Session: <*> initialized by client WindowsUpdateAgent.
364,Read out cached package applicability for package: <*> ApplicableState: <*> <*>
365,Session: <*> initialized by client WindowsUpdateAgent.
366,Read out cached package applicability for package: <*> ApplicableState: <*> <*>
367,Session: <*> initialized by client WindowsUpdateAgent.
368,Read out cached package applicability for package: <*> ApplicableState: <*> <*>
369,Session: <*> initialized by client WindowsUpdateAgent.
370,Read out cached package applicability for package: <*> ApplicableState: <*> <*>
371,Session: <*> initialized by client WindowsUpdateAgent.
372,Read out cached package applicability for package: <*> ApplicableState: <*> <*>
373,Session: <*> initialized by client WindowsUpdateAgent.
374,Read out cached package applicability for package: <*> ApplicableState: <*> <*>
375,Session: <*> initialized by client WindowsUpdateAgent.
376,Read out cached package applicability for package: <*> ApplicableState: <*> <*>
377,Session: <*> initialized by client WindowsUpdateAgent.
378,Read out cached package applicability for package: <*> ApplicableState: <*> <*>
379,Session: <*> initialized by client WindowsUpdateAgent.
380,Read out cached package applicability for package: <*> ApplicableState: <*> <*>
381,Session: <*> initialized by client WindowsUpdateAgent.
382,Read out cached package applicability for package: <*> ApplicableState: <*> <*>
383,Session: <*> initialized by client WindowsUpdateAgent.
384,Session: <*> initialized by client WindowsUpdateAgent.
385,Read out cached package applicability for package: <*> ApplicableState: <*> <*>
386,Session: <*> initialized by client WindowsUpdateAgent.
387,Read out cached package applicability for package: <*> ApplicableState: <*> <*>
388,Session: <*> initialized by client WindowsUpdateAgent.
389,Read out cached package applicability for package: <*> ApplicableState: <*> <*>
390,Session: <*> initialized by client WindowsUpdateAgent.
391,Read out cached package applicability for package: <*> ApplicableState: <*> <*>
392,Session: <*> initialized by client WindowsUpdateAgent.
393,Read out cached package applicability for package: <*> ApplicableState: <*> <*>
394,Session: <*> initialized by client WindowsUpdateAgent.
395,Read out cached package applicability for package: <*> ApplicableState: <*> <*>
396,Session: <*> initialized by client WindowsUpdateAgent.
397,Read out cached package applicability for package: <*> ApplicableState: <*> <*>
398,Session: <*> initialized by client WindowsUpdateAgent.
399,Read out cached package applicability for package: <*> ApplicableState: <*> <*>
400,Session: <*> initialized by client WindowsUpdateAgent.
401,Read out cached package applicability for package: <*> ApplicableState: <*> <*>
